profile_id,rank,rating,steam_id,icon,name,clan,country,previous_rating,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match_time,Timestamp
199325,1,2813,76561198449406083,,[aM] Hera,,CA,2802,2838,1,-6,36,3615,2554,1061,30,1682178714,2023-04-29 22:54:40.684593
196240,2,2717,76561197984749679,,GL.TheViper,,NO,2714,2813,1,-9,22,1627,1072,555,4,1682447436,2023-04-29 22:54:40.684593
1862892,3,2707,76561199032160044,,Modri,,SI,2688,2707,9,-6,24,678,421,257,2,1682439919,2023-04-29 22:54:40.684593
251265,4,2692,76561197996386232,,[aM]MbL40C,,NO,2680,2751,6,-9,23,4352,3026,1326,96,1682775004,2023-04-29 22:54:40.684593
199170,5,2688,76561197992981071,,CDUB.dogao,,BR,2678,2688,13,-5,32,1744,1298,446,17,1682456591,2023-04-29 22:54:40.684593
208393,6,2661,76561198027378107,,[aM] Nicov,,AR,2634,2730,4,-6,22,1557,1121,436,8,1682737392,2023-04-29 22:54:40.684593
9473909,7,2656,76561199240324201,,Kalashnicov,,AR,2716,2716,2,-7,60,523,366,157,5,1680919031,2023-04-29 22:54:40.684593
582058,8,2656,76561198032611326,,[aM] Hearttt,,PE,2644,2732,3,-7,14,2486,1528,958,20,1682659673,2023-04-29 22:54:40.684593
271202,9,2649,76561198000635167,,SalzZ_Vinchester,,RU,2648,2742,8,-6,18,1480,1025,455,7,1682601708,2023-04-29 22:54:40.684593
212721,10,2648,76561198116921964,,mYi.Sitaux,FrCo,FR,2637,2711,6,-5,29,1127,776,351,6,1682447813,2023-04-29 22:54:40.684593
4351237,11,2636,76561199114437308,,mYi.Sitaux,FrCo,FR,2634,2636,9,-4,40,317,241,76,1,1682634547,2023-04-29 22:54:40.684593
2644601,12,2635,76561199057707367,,__TheMbL__,,NO,2694,2694,6,-5,39,1020,768,252,9,1681137456,2023-04-29 22:54:40.684593
197964,13,2623,76561198179087382,,Yo,WWP,CN,2608,2799,1,-7,15,2327,1474,853,22,1682796592,2023-04-29 22:54:40.684593
666976,14,2619,76561198275359848,,_Barles_,,PL,2644,2697,-1,-7,12,2659,1675,984,12,1682798942,2023-04-29 22:54:40.684593
628503,15,2613,76561198036586732,,Valas,,FI,2597,2645,1,-7,16,2006,1171,835,2,1682685498,2023-04-29 22:54:40.684593
3209724,16,2612,76561198410119452,,Arabia Player,,CA,2626,2626,-1,-3,45,250,197,53,0,1682123008,2023-04-29 22:54:40.684593
4422938,17,2602,76561199118807671,,___MbL___,,NO,2660,2676,1,-10,73,513,394,119,4,1681560208,2023-04-29 22:54:40.684593
208611,18,2595,76561198325239137,,Villese,,FI,2577,2740,2,-7,19,2843,1863,980,14,1682794366,2023-04-29 22:54:40.684593
506898,19,2593,76561198362219694,,[aM] Liereyy,,AT,2612,2659,-1,-6,16,1039,699,340,9,1682167488,2023-04-29 22:54:40.684593
11406458,20,2589,76561199406815843,,肥宝宝,,CN,2581,2659,4,-4,12,324,229,95,1,1682794150,2023-04-29 22:54:40.684593
2368761,21,2587,76561199047138712,,Fox.Margougou,FrCo,FR,2583,2587,4,-7,16,1172,680,492,13,1682794918,2023-04-29 22:54:40.684593
