profile_id,rank,rating,steam_id,icon,name,clan,country,previous_rating,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match_time,Timestamp
199325,1,2813,76561198449406083,,[aM] Hera,,CA,2802,2838,1,-6,36,3615,2554,1061,30,1682178714,2023-04-25 22:01:01.212095
196240,2,2717,76561197984749679,,GL.TheViper,,NO,2714,2813,1,-9,22,1627,1072,555,4,1682447436,2023-04-25 22:01:01.212095
1862892,3,2707,76561199032160044,,Modri,,SI,2688,2707,9,-6,24,678,421,257,2,1682439919,2023-04-25 22:01:01.212095
197964,4,2691,76561198179087382,,Yo,WWP,CN,2705,2799,-1,-7,15,2312,1466,846,22,1682438408,2023-04-25 22:01:01.212095
199170,5,2678,76561197992981071,,CDUB.dogao,,BR,2672,2678,12,-5,32,1743,1297,446,17,1682372086,2023-04-25 22:01:01.212095
582058,6,2662,76561198032611326,,[aM] Hearttt,,PE,2648,2732,1,-7,14,2462,1513,949,20,1682392319,2023-04-25 22:01:01.212095
4422938,7,2660,76561199118807671,,___MbL___,,NO,2648,2676,1,-10,73,513,394,119,4,1681560208,2023-04-25 22:01:01.212095
9473909,8,2656,76561199240324201,,Kalashnicov,,AR,2716,2716,2,-7,60,523,366,157,5,1680919031,2023-04-25 22:01:01.212095
208393,9,2653,76561198027378107,,[aM] Nicov,,AR,2675,2730,-1,-5,22,1526,1104,422,8,1682311608,2023-04-25 22:01:01.212095
271202,10,2648,76561198000635167,,SalzZ_Vinchester,,RU,2645,2742,7,-6,18,1479,1024,455,7,1682071967,2023-04-25 22:01:01.212095
212721,11,2648,76561198116921964,,mYi.Sitaux,FrCo,FR,2637,2711,6,-5,29,1127,776,351,6,1682447813,2023-04-25 22:01:01.212095
251265,12,2637,76561197996386232,,[aM]MbL40C,,NO,2653,2751,-2,-9,23,4343,3019,1324,96,1682291218,2023-04-25 22:01:01.212095
2644601,13,2635,76561199057707367,,__TheMbL__,,NO,2694,2694,6,-5,39,1020,768,252,9,1681137456,2023-04-25 22:01:01.212095
4351237,14,2634,76561199114437308,,mYi.Sitaux,FrCo,FR,2619,2634,8,-4,40,316,240,76,1,1681527389,2023-04-25 22:01:01.212095
3209724,15,2612,76561198410119452,,Arabia Player,,CA,2626,2626,-1,-3,45,250,197,53,0,1682123008,2023-04-25 22:01:01.212095
2783660,16,2602,76561199062883266,,DS_Sebastian,Biry,UY,2588,2603,2,-7,12,2074,1144,930,23,1682441312,2023-04-25 22:01:01.212095
506898,17,2593,76561198362219694,,[aM] Liereyy,,AT,2612,2659,-1,-6,16,1039,699,340,9,1682167488,2023-04-25 22:01:01.212095
1486575,18,2586,76561199021127843,,CDUB.doguinhoCaRaMeLo_xD_br_2k,,BR,2598,2632,-1,-6,20,1500,1085,415,6,1682136233,2023-04-25 22:01:01.212095
2368761,19,2583,76561199047138712,,Fox.Margougou,FrCo,FR,2571,2583,3,-7,16,1171,679,492,13,1682379934,2023-04-25 22:01:01.212095
579679,20,2579,76561198425688505,,Fox.Margougou,SINGE,FR,2560,2579,5,-7,12,1710,964,746,16,1682215382,2023-04-25 22:01:01.212095
666976,21,2565,76561198275359848,,_Barles_,,PL,2547,2697,1,-7,12,2642,1662,980,12,1682436222,2023-04-25 22:01:01.212095
347269,22,2562,76561198364718180,,Gamdom.ACCM | AOEBuilds.com,,VN,2583,2668,-2,-7,25,3351,2317,1034,43,1682393789,2023-04-25 22:01:01.212095
4620061,23,2555,76561199124381546,,Phantom,,DE,2540,2623,3,-6,27,1954,1195,759,8,1682432494,2023-04-25 22:01:01.212095
614315,24,2552,76561198135964589,,slam,,CA,2566,2579,-1,-8,14,3589,2150,1439,17,1682228436,2023-04-25 22:01:01.212095
208611,25,2552,76561198325239137,,Villese,,FI,2577,2740,-2,-7,19,2832,1856,976,13,1682257827,2023-04-25 22:01:01.212095
11406458,26,2536,76561199406815843,,肥宝宝,,CN,2557,2659,-1,-4,12,307,217,90,1,1682445903,2023-04-25 22:01:01.212095
196310,27,2531,76561198275970890,,[KGB] F1Re,1KGB1,BR,2522,2551,2,-9,28,3562,2457,1105,29,1682387173,2023-04-25 22:01:01.212095
