profile_id,rank,rating,steam_id,icon,name,clan,country,previous_rating,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match_time,Timestamp
199325,1,2813,76561198449406083,,[aM] Hera,,CA,2802,2838,1,-6,36,3615,2554,1061,30,1682178714,2023-04-27 22:19:36.988041
196240,2,2717,76561197984749679,,GL.TheViper,,NO,2714,2813,1,-9,22,1627,1072,555,4,1682447436,2023-04-27 22:19:36.988041
1862892,3,2707,76561199032160044,,Modri,,SI,2688,2707,9,-6,24,678,421,257,2,1682439919,2023-04-27 22:19:36.988041
197964,4,2692,76561198179087382,,Yo,WWP,CN,2683,2799,5,-7,15,2322,1473,849,22,1682613012,2023-04-27 22:19:36.988041
199170,5,2688,76561197992981071,,CDUB.dogao,,BR,2678,2688,13,-5,32,1744,1298,446,17,1682456591,2023-04-27 22:19:36.988041
208393,6,2663,76561198027378107,,[aM] Nicov,,AR,2646,2730,1,-6,22,1547,1115,432,8,1682569446,2023-04-27 22:19:36.988041
4422938,7,2660,76561199118807671,,___MbL___,,NO,2648,2676,1,-10,73,513,394,119,4,1681560208,2023-04-27 22:19:36.988041
9473909,8,2656,76561199240324201,,Kalashnicov,,AR,2716,2716,2,-7,60,523,366,157,5,1680919031,2023-04-27 22:19:36.988041
582058,9,2653,76561198032611326,,[aM] Hearttt,,PE,2670,2732,-1,-7,14,2476,1521,955,20,1682569446,2023-04-27 22:19:36.988041
271202,10,2649,76561198000635167,,SalzZ_Vinchester,,RU,2648,2742,8,-6,18,1480,1025,455,7,1682601708,2023-04-27 22:19:36.988041
212721,11,2648,76561198116921964,,mYi.Sitaux,FrCo,FR,2637,2711,6,-5,29,1127,776,351,6,1682447813,2023-04-27 22:19:36.988041
251265,12,2637,76561197996386232,,[aM]MbL40C,,NO,2653,2751,-2,-9,23,4343,3019,1324,96,1682291218,2023-04-27 22:19:36.988041
2644601,13,2635,76561199057707367,,__TheMbL__,,NO,2694,2694,6,-5,39,1020,768,252,9,1681137456,2023-04-27 22:19:36.988041
4351237,14,2634,76561199114437308,,mYi.Sitaux,FrCo,FR,2619,2634,8,-4,40,316,240,76,1,1681527389,2023-04-27 22:19:36.988041
3209724,15,2612,76561198410119452,,Arabia Player,,CA,2626,2626,-1,-3,45,250,197,53,0,1682123008,2023-04-27 22:19:36.988041
614315,16,2594,76561198135964589,,slam,,CA,2574,2594,2,-8,14,3591,2152,1439,17,1682466459,2023-04-27 22:19:36.988041
506898,17,2593,76561198362219694,,[aM] Liereyy,,AT,2612,2659,-1,-6,16,1039,699,340,9,1682167488,2023-04-27 22:19:36.988041
1486575,18,2586,76561199021127843,,CDUB.doguinhoCaRaMeLo_xD_br_2k,,BR,2598,2632,-1,-6,20,1500,1085,415,6,1682136233,2023-04-27 22:19:36.988041
2783660,19,2584,76561199062883266,,DS_Sebastian,Biry,UY,2570,2603,1,-7,12,2080,1147,933,23,1682599392,2023-04-27 22:19:36.988041
2368761,20,2583,76561199047138712,,Fox.Margougou,FrCo,FR,2571,2583,3,-7,16,1171,679,492,13,1682379934,2023-04-27 22:19:36.988041
208611,21,2581,76561198325239137,,Villese,,FI,2566,2740,2,-7,19,2834,1858,976,13,1682518203,2023-04-27 22:19:36.988041
