profile_id,rank,rating,steam_id,icon,name,clan,country,previous_rating,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match_time,Timestamp
196240,1,2759,76561197984749679,,GL.TheViper,,NO,2750,2813,6,-9,22,1632,1077,555,4,1683463075,2023-05-08 21:28:10.940171
199325,2,2738,76561198449406083,,[aM] Hera,,CA,2733,2838,1,-6,36,3621,2556,1065,30,1683531519,2023-05-08 21:28:10.940171
1862892,3,2717,76561199032160044,,Modri,,SI,2707,2717,10,-6,24,679,422,257,2,1683569013,2023-05-08 21:28:10.940171
197964,4,2711,76561198179087382,,Yo,WWP,CN,2705,2799,4,-7,15,2351,1494,857,22,1683560425,2023-05-08 21:28:10.940171
3209724,5,2708,76561198410119452,,Arabia Player,,CA,2691,2708,7,-3,45,274,216,58,0,1683571915,2023-05-08 21:28:10.940171
251265,6,2705,76561197996386232,,[aM]MbL40C,,NO,2722,2751,-1,-9,23,4358,3031,1327,96,1683571915,2023-05-08 21:28:10.940171
2644601,7,2700,76561199057707367,,__TheMbL__,,NO,2684,2700,2,-5,39,1039,782,257,9,1683247478,2023-05-08 21:28:10.940171
582058,8,2694,76561198032611326,,[aM] Hearttt,,PE,2693,2732,2,-7,14,2516,1548,968,21,1683502828,2023-05-08 21:28:10.940171
199170,9,2691,76561197992981071,,dogao,,BR,2688,2691,14,-5,32,1745,1299,446,17,1683570465,2023-05-08 21:28:10.940171
4422938,10,2650,76561199118807671,,___MbL___,,NO,2664,2711,-2,-10,73,551,422,129,5,1683489167,2023-05-08 21:28:10.940171
212721,11,2648,76561198116921964,,mYi.Sitaux,FrCo,FR,2637,2711,6,-5,29,1127,776,351,6,1682447813,2023-05-08 21:28:10.940171
208393,12,2648,76561198027378107,,[aM] Nicov,,AR,2663,2730,-2,-6,22,1596,1146,450,8,1683570753,2023-05-08 21:28:10.940171
666976,13,2646,76561198275359848,,_Barles_,,PL,2641,2697,3,-7,12,2662,1678,984,12,1682865759,2023-05-08 21:28:10.940171
4351237,14,2638,76561199114437308,,mYi.Sitaux,FrCo,FR,2636,2638,10,-4,40,318,242,76,1,1682902300,2023-05-08 21:28:10.940171
271202,15,2637,76561198000635167,,SalzZ_Vinchester,,RU,2617,2742,1,-6,18,1486,1029,457,7,1683238967,2023-05-08 21:28:10.940171
506898,16,2631,76561198362219694,,[aM] Liereyy,,AT,2618,2659,3,-6,16,1042,702,340,9,1682859601,2023-05-08 21:28:10.940171
1486575,17,2627,76561199021127843,,doguinhoCaRaMeLo_xD_br_2k,,BR,2614,2632,1,-6,20,1508,1091,417,6,1683221995,2023-05-08 21:28:10.940171
208611,18,2613,76561198325239137,,Villese,,FI,2635,2740,-1,-7,19,2854,1871,983,15,1683565075,2023-05-08 21:28:10.940171
11406458,19,2611,76561199406815843,,肥宝宝,,CN,2595,2659,1,-4,12,332,235,97,1,1683557364,2023-05-08 21:28:10.940171
2368761,20,2604,76561199047138712,,Fox.Margougou,FrCo,FR,2587,2604,5,-7,16,1173,681,492,13,1682810122,2023-05-08 21:28:10.940171
614315,21,2599,76561198135964589,,slam,,CA,2591,2612,1,-8,14,3618,2165,1453,17,1683503088,2023-05-08 21:28:10.940171
628503,22,2576,76561198036586732,,Valas,,FI,2592,2645,-1,-7,16,2026,1181,845,2,1683557364,2023-05-08 21:28:10.940171
4620061,23,2563,76561199124381546,,Running,,DE,2573,2623,-1,-6,27,1957,1197,760,8,1683569013,2023-05-08 21:28:10.940171
197388,24,2558,76561198088251629,,GL.TaToH,TaToH,ES,2546,2605,5,-6,32,865,623,242,4,1682689777,2023-05-08 21:28:10.940171
1754629,25,2558,76561198807828662,,SalzZ_classicpro,,UA,2547,2558,1,-8,22,1696,1058,638,11,1683543629,2023-05-08 21:28:10.940171
2858362,26,2553,76561198400058723,,GL.JorDan_AoE,,DE,2565,2760,-2,-10,27,1837,1073,764,13,1683298276,2023-05-08 21:28:10.940171
198035,27,2538,76561198044559189,,GL.DauT,DauT,RS,2559,2608,-2,-9,30,2218,1295,923,15,1683552399,2023-05-08 21:28:10.940171
347269,28,2536,76561198364718180,,Gamdom.ACCM |AOEBuilds.com,,VN,2532,2668,4,-7,25,3390,2336,1054,45,1683522181,2023-05-08 21:28:10.940171
2783660,29,2525,76561199062883266,,DS_Sebastian,Biry,UY,2503,2603,3,-7,12,2105,1158,947,25,1683565074,2023-05-08 21:28:10.940171
1531083,30,2508,76561198056609593,,mYi.FreakinAndy,,AT,2495,2672,3,-9,13,1215,726,489,7,1683556979,2023-05-08 21:28:10.940171
2090225,31,2503,76561198242526658,,miguel,,BR,2522,2557,-1,-10,22,2371,1353,1018,12,1683569607,2023-05-08 21:28:10.940171
357795,32,2501,76561198367209710,,CL.DracKeN,C1own,CZ,2494,2588,1,-13,15,7496,4224,3272,64,1683489289,2023-05-08 21:28:10.940171
579679,33,2497,76561198425688505,,Fox.Margougou,SINGE,FR,2484,2579,3,-7,12,1767,993,774,16,1683422587,2023-05-08 21:28:10.940171
