profile_id,rank,rating,steam_id,icon,name,clan,country,previous_rating,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match_time,Timestamp
199325,1,2753,76561198449406083,,[aM] Hera,,CA,2780,2838,-1,-6,36,3625,2559,1066,30,1683758800,2023-05-11 22:00:37.139105
3209724,2,2718,76561198410119452,,Arabia Player,,CA,2710,2718,3,-3,45,280,220,60,0,1683695205,2023-05-11 22:00:37.139105
1862892,3,2717,76561199032160044,,Modri,,SI,2707,2717,10,-6,24,679,422,257,2,1683569013,2023-05-11 22:00:37.139105
582058,4,2716,76561198032611326,,[aM] Hearttt,,PE,2709,2732,6,-7,14,2523,1554,969,21,1683709493,2023-05-11 22:00:37.139105
199170,5,2707,76561197992981071,,dogao,,BR,2691,2707,15,-5,32,1746,1300,446,17,1683745630,2023-05-11 22:00:37.139105
2644601,6,2700,76561199057707367,,__TheMbL__,,NO,2684,2700,2,-5,39,1039,782,257,9,1683247478,2023-05-11 22:00:37.139105
196240,7,2696,76561197984749679,,GL.TheViper,,NO,2680,2813,1,-9,22,1642,1081,561,4,1683816080,2023-05-11 22:00:37.139105
4422938,8,2688,76561199118807671,,___MbL___,,NO,2684,2711,4,-10,73,555,426,129,5,1683674281,2023-05-11 22:00:37.139105
4351237,9,2679,76561199114437308,,mYi.Sitaux,FrCo,FR,2667,2679,13,-4,40,321,245,76,1,1683729981,2023-05-11 22:00:37.139105
208393,10,2679,76561198027378107,,[aM] Nicov,,AR,2670,2730,2,-6,22,1601,1150,451,8,1683661079,2023-05-11 22:00:37.139105
212721,11,2669,76561198116921964,,mYi.Sitaux,FrCo,FR,2652,2711,8,-5,29,1129,778,351,6,1683757441,2023-05-11 22:00:37.139105
197964,12,2667,76561198179087382,,Yo,WWP,CN,2663,2799,1,-7,15,2356,1496,860,22,1683832050,2023-05-11 22:00:37.139105
208611,13,2661,76561198325239137,,Villese,,FI,2643,2740,1,-7,19,2863,1877,986,16,1683815715,2023-05-11 22:00:37.139105
251265,14,2659,76561197996386232,,[aM]MbL40C,,NO,2675,2751,-1,-9,23,4376,3039,1337,96,1683816080,2023-05-11 22:00:37.139105
11406458,15,2656,76561199406815843,,肥宝宝,,CN,2637,2659,4,-4,12,335,238,97,1,1683814131,2023-05-11 22:00:37.139105
666976,16,2651,76561198275359848,,_Barles_,,PL,2644,2697,3,-7,12,2668,1682,986,12,1683724214,2023-05-11 22:00:37.139105
271202,17,2637,76561198000635167,,SalzZ_Vinchester,,RU,2617,2742,1,-6,18,1486,1029,457,7,1683238967,2023-05-11 22:00:37.139105
506898,18,2631,76561198362219694,,[aM] Liereyy,,AT,2618,2659,3,-6,16,1042,702,340,9,1682859601,2023-05-11 22:00:37.139105
1486575,19,2627,76561199021127843,,doguinhoCaRaMeLo_xD_br_2k,,BR,2614,2632,1,-6,20,1508,1091,417,6,1683221995,2023-05-11 22:00:37.139105
198035,20,2625,76561198044559189,,GL.DauT,DauT,RS,2609,2626,1,-9,30,2226,1302,924,15,1683719606,2023-05-11 22:00:37.139105
4620061,21,2604,76561199124381546,,Running,,DE,2593,2623,3,-6,27,1960,1200,760,8,1683814354,2023-05-11 22:00:37.139105
2368761,22,2604,76561199047138712,,Fox.Margougou,FrCo,FR,2587,2604,5,-7,16,1173,681,492,13,1682810122,2023-05-11 22:00:37.139105
347269,23,2585,76561198364718180,,Gamdom.ACCM |AOEBuilds.com,,VN,2573,2668,7,-7,25,3393,2339,1054,45,1683810918,2023-05-11 22:00:37.139105
2858362,24,2573,76561198400058723,,GL.JorDan_AoE,,DE,2561,2760,3,-10,27,1857,1086,771,13,1683804388,2023-05-11 22:00:37.139105
628503,25,2562,76561198036586732,,Valas,,FI,2576,2645,-2,-7,16,2027,1181,846,2,1683716878,2023-05-11 22:00:37.139105
1754629,26,2558,76561198807828662,,SalzZ_classicpro,,UA,2581,2581,-1,-8,22,1699,1060,639,11,1683750115,2023-05-11 22:00:37.139105
1531083,27,2536,76561198056609593,,mYi.FreakinAndy,,AT,2517,2672,8,-9,13,1230,736,494,7,1683798406,2023-05-11 22:00:37.139105
197388,28,2518,76561198088251629,,GL.TaToH,TaToH,ES,2515,2605,1,-6,32,869,624,245,4,1683644977,2023-05-11 22:00:37.139105
14665996,29,2495,76561199153076089,,GG,,UA,2523,2565,-1,-4,38,116,99,17,1,1683287622,2023-05-11 22:00:37.139105
2783660,30,2491,76561199062883266,,DS_Sebastian,Biry,UY,2475,2603,1,-7,12,2109,1159,950,25,1683642166,2023-05-11 22:00:37.139105
3552644,31,2489,76561199096859133,,TimeToEnjoy,,CA,2473,2489,4,-5,20,425,293,132,0,1683601547,2023-05-11 22:00:37.139105
288714,32,2488,76561198282860959,,Mihai06,ROTLD,RO,2473,2570,1,-9,12,4023,2151,1872,49,1683815955,2023-05-11 22:00:37.139105
1966276,33,2485,76561198376755697,,MING,WWP,HK,2503,2505,-1,-7,12,1425,809,616,6,1683449074,2023-05-11 22:00:37.139105
229071,34,2480,76561198217460091,,Combi | Uzzi,Combi,MX,2465,2499,2,-8,20,2925,1500,1425,30,1683704270,2023-05-11 22:00:37.139105
2090225,35,2480,76561198242526658,,miguel,,BR,2491,2557,-3,-10,22,2373,1353,1020,12,1683641644,2023-05-11 22:00:37.139105
579679,36,2479,76561198425688505,,Fox.Margougou,SINGE,FR,2491,2579,-2,-7,12,1774,995,779,16,1683810918,2023-05-11 22:00:37.139105
