profile_id,rank,rating,steam_id,icon,name,clan,country,previous_rating,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match_time,Timestamp
199325,1,2738,76561198449406083,,[aM] Hera,,CA,2733,2838,1,-6,36,3621,2556,1065,30,1683531519,2023-05-09 21:46:18.831746
196240,2,2735,76561197984749679,,GL.TheViper,,NO,2753,2813,-1,-9,22,1637,1079,558,4,1683642301,2023-05-09 21:46:18.831746
251265,3,2721,76561197996386232,,[aM]MbL40C,,NO,2703,2751,1,-9,23,4367,3036,1331,96,1683642301,2023-05-09 21:46:18.831746
1862892,4,2717,76561199032160044,,Modri,,SI,2707,2717,10,-6,24,679,422,257,2,1683569013,2023-05-09 21:46:18.831746
582058,5,2709,76561198032611326,,[aM] Hearttt,,PE,2703,2732,5,-7,14,2522,1553,969,21,1683603079,2023-05-09 21:46:18.831746
3209724,6,2705,76561198410119452,,Arabia Player,,CA,2693,2709,1,-3,45,278,218,60,0,1683581749,2023-05-09 21:46:18.831746
2644601,7,2700,76561199057707367,,__TheMbL__,,NO,2684,2700,2,-5,39,1039,782,257,9,1683247478,2023-05-09 21:46:18.831746
199170,8,2691,76561197992981071,,dogao,,BR,2688,2691,14,-5,32,1745,1299,446,17,1683570465,2023-05-09 21:46:18.831746
197964,9,2689,76561198179087382,,Yo,WWP,CN,2711,2799,-1,-7,15,2352,1494,858,22,1683640070,2023-05-09 21:46:18.831746
208393,10,2670,76561198027378107,,[aM] Nicov,,AR,2652,2730,1,-6,22,1600,1149,451,8,1683593927,2023-05-09 21:46:18.831746
666976,11,2660,76561198275359848,,_Barles_,,PL,2646,2697,4,-7,12,2663,1679,984,12,1683587238,2023-05-09 21:46:18.831746
212721,12,2652,76561198116921964,,mYi.Sitaux,FrCo,FR,2648,2711,7,-5,29,1128,777,351,6,1683576892,2023-05-09 21:46:18.831746
4422938,13,2650,76561199118807671,,___MbL___,,NO,2664,2711,-2,-10,73,551,422,129,5,1683489167,2023-05-09 21:46:18.831746
4351237,14,2638,76561199114437308,,mYi.Sitaux,FrCo,FR,2636,2638,10,-4,40,318,242,76,1,1682902300,2023-05-09 21:46:18.831746
271202,15,2637,76561198000635167,,SalzZ_Vinchester,,RU,2617,2742,1,-6,18,1486,1029,457,7,1683238967,2023-05-09 21:46:18.831746
506898,16,2631,76561198362219694,,[aM] Liereyy,,AT,2618,2659,3,-6,16,1042,702,340,9,1682859601,2023-05-09 21:46:18.831746
1486575,17,2627,76561199021127843,,doguinhoCaRaMeLo_xD_br_2k,,BR,2614,2632,1,-6,20,1508,1091,417,6,1683221995,2023-05-09 21:46:18.831746
2858362,18,2614,76561198400058723,,GL.JorDan_AoE,,DE,2605,2760,6,-10,27,1844,1079,765,13,1683644061,2023-05-09 21:46:18.831746
11406458,19,2611,76561199406815843,,肥宝宝,,CN,2595,2659,1,-4,12,332,235,97,1,1683557364,2023-05-09 21:46:18.831746
198035,20,2610,76561198044559189,,GL.DauT,DauT,RS,2597,2610,5,-9,30,2223,1300,923,15,1683641537,2023-05-09 21:46:18.831746
208611,21,2609,76561198325239137,,Villese,,FI,2598,2740,2,-7,19,2858,1873,985,16,1683641644,2023-05-09 21:46:18.831746
2368761,22,2604,76561199047138712,,Fox.Margougou,FrCo,FR,2587,2604,5,-7,16,1173,681,492,13,1682810122,2023-05-09 21:46:18.831746
4620061,23,2593,76561199124381546,,Running,,DE,2579,2623,2,-6,27,1959,1199,760,8,1683643046,2023-05-09 21:46:18.831746
1754629,24,2581,76561198807828662,,SalzZ_classicpro,,UA,2571,2581,3,-8,22,1698,1060,638,11,1683646929,2023-05-09 21:46:18.831746
628503,25,2576,76561198036586732,,Valas,,FI,2592,2645,-1,-7,16,2026,1181,845,2,1683557364,2023-05-09 21:46:18.831746
347269,26,2573,76561198364718180,,Gamdom.ACCM |AOEBuilds.com,,VN,2555,2668,6,-7,25,3392,2338,1054,45,1683626722,2023-05-09 21:46:18.831746
