profile_id,rank,rating,steam_id,icon,name,clan,country,previous_rating,highest_rating,streak,lowest_streak,highest_streak,games,wins,losses,drops,last_match_time,Timestamp
199325,1,2813,76561198449406083,,[aM] Hera,,CA,2802,2838,1,-6,36,3615,2554,1061,30,1682178714,2023-04-28 22:03:54.396586
196240,2,2717,76561197984749679,,GL.TheViper,,NO,2714,2813,1,-9,22,1627,1072,555,4,1682447436,2023-04-28 22:03:54.396586
1862892,3,2707,76561199032160044,,Modri,,SI,2688,2707,9,-6,24,678,421,257,2,1682439919,2023-04-28 22:03:54.396586
199170,4,2688,76561197992981071,,CDUB.dogao,,BR,2678,2688,13,-5,32,1744,1298,446,17,1682456591,2023-04-28 22:03:54.396586
251265,5,2676,76561197996386232,,[aM]MbL40C,,NO,2661,2751,3,-9,23,4349,3023,1326,96,1682640268,2023-04-28 22:03:54.396586
4422938,6,2660,76561199118807671,,___MbL___,,NO,2648,2676,1,-10,73,513,394,119,4,1681560208,2023-04-28 22:03:54.396586
9473909,7,2656,76561199240324201,,Kalashnicov,,AR,2716,2716,2,-7,60,523,366,157,5,1680919031,2023-04-28 22:03:54.396586
582058,8,2656,76561198032611326,,[aM] Hearttt,,PE,2644,2732,3,-7,14,2486,1528,958,20,1682659673,2023-04-28 22:03:54.396586
271202,9,2649,76561198000635167,,SalzZ_Vinchester,,RU,2648,2742,8,-6,18,1480,1025,455,7,1682601708,2023-04-28 22:03:54.396586
212721,10,2648,76561198116921964,,mYi.Sitaux,FrCo,FR,2637,2711,6,-5,29,1127,776,351,6,1682447813,2023-04-28 22:03:54.396586
197964,11,2646,76561198179087382,,Yo,WWP,CN,2669,2799,-2,-7,15,2324,1473,851,22,1682687171,2023-04-28 22:03:54.396586
666976,12,2644,76561198275359848,,_Barles_,,PL,2632,2697,4,-7,12,2658,1675,983,12,1682692753,2023-04-28 22:03:54.396586
4351237,13,2636,76561199114437308,,mYi.Sitaux,FrCo,FR,2634,2636,9,-4,40,317,241,76,1,1682634547,2023-04-28 22:03:54.396586
2644601,14,2635,76561199057707367,,__TheMbL__,,NO,2694,2694,6,-5,39,1020,768,252,9,1681137456,2023-04-28 22:03:54.396586
208393,15,2624,76561198027378107,,[aM] Nicov,,AR,2639,2730,-3,-6,22,1553,1117,436,8,1682640268,2023-04-28 22:03:54.396586
628503,16,2613,76561198036586732,,Valas,,FI,2597,2645,1,-7,16,2006,1171,835,2,1682685498,2023-04-28 22:03:54.396586
3209724,17,2612,76561198410119452,,Arabia Player,,CA,2626,2626,-1,-3,45,250,197,53,0,1682123008,2023-04-28 22:03:54.396586
